PlayerID,TeamID,Nickname,RealName,Role,Nationality,JoinDate
1,236,kurthunter,Travis Butler,Top,Botswana,2024-09-25
2,131,mcneilkerry,Kathleen Hansen,Jungle,Togo,2021-09-19
3,220,morristeresa,Jon Ward,Mid,Brunei Darussalam,2022-03-16
4,355,jbishop,Stephanie Carter,ADC,South Africa,2021-07-18
5,197,carriezimmerman,Katherine Garrison,Support,Burkina Faso,2020-03-10
6,429,bradfordbrandy,Derrick West,Top,Czech Republic,2023-01-10
7,347,ashley93,Krista Kline,Jungle,Eritrea,2024-02-14
8,472,samuel72,David Alvarado,Mid,Antigua and Barbuda,2023-08-17
9,442,davidcameron,Sonia Terry,ADC,Saint Kitts and Nevis,2021-10-25
10,465,ocampbell,Alison Taylor,Support,El Salvador,2022-01-08
11,304,angelaortiz,John Martinez,Top,Saint Kitts and Nevis,2024-03-01
12,426,lindsay69,Benjamin Randall,Jungle,Namibia,2020-04-10
13,56,michaelcurtis,Taylor Allen,Mid,Poland,2022-08-26
14,26,hford,Patricia Reid,ADC,Yemen,2023-09-20
15,175,ifrench,Billy Boyd,Support,Nauru,2020-05-03
16,210,christopherjimenez,Jose Johnson,Top,Vanuatu,2020-08-15
17,307,kcarlson,Austin Reed,Jungle,Nepal,2023-11-16
18,240,zkoch,Brandi Rivera,Mid,Togo,2021-08-30
19,186,kingtravis,Timothy Luna,ADC,Lao People's Democratic Republic,2021-06-27
20,281,deborahyoung,Jonathan Mitchell,Support,Trinidad and Tobago,2020-10-22
21,310,robert22,Scott Grant,Top,Antigua and Barbuda,2024-07-03
22,301,baileygraves,Arthur Carter,Jungle,Azerbaijan,2024-03-08
23,154,fperkins,Matthew Christensen,Mid,Chad,2022-12-31
24,170,randall73,Mark Simon,ADC,Slovenia,2021-02-25
25,212,keithmorgan,David Gray,Support,Cote d'Ivoire,2023-09-07
26,150,carl63,Monica Schmitt,Top,Myanmar,2021-05-08
27,378,tbaxter,Stacey Clark,Jungle,Estonia,2023-08-10
